grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.003875,0.3875,1465.6863563895668,0.0008931690057061988,0.00097571823438028,0.0009135327842755931
0.0038828125,0.38828125,1473.350768232377,0.0008990427942708023,0.0009810377368571683,0.0009190714680913727
0.003890625,0.3890625,1480.9651308321056,0.0009043581465886293,0.000985437809996832,0.0009239836698791855
0.00390625,0.390625,1496.0437591702055,0.0009133109570515684,0.0009916564041839973,0.0009319569100977633
0.003921875,0.3921875,1510.920915220813,0.0009201249099059828,0.0009944398961557466,0.0009375790152906648
0.0039375,0.39375,1525.5961559434686,0.0009248833539354061,0.0009939879514695505,0.0009409735154954053
0.003953125,0.3953125,1540.0695018916479,0.0009276886859095223,0.0009905243807687867,0.0009422855003312149
0.00396875,0.396875,1554.3413889910962,0.000928658495979832,0.0009842876770445822,0.0009416721887994851
0.003984375,0.3984375,1568.4126175486654,0.0009279217614708137,0.0009755224971208382,0.0009392977183734164
0.004,0.4,1582.284298827937,0.0009256152687845652,0.0009644724541844074,0.0009353292477428293
0.004015625,0.4015625,1595.9577994487295,0.0009218803561343897,0.0009513743971308078,0.0009299337942368172
0.00403125,0.403125,1609.4346839392724,0.0009168600219714336,0.0009364541873491166,0.0009232756564125867
0.004046875,0.4046875,1622.7166558568485,0.0009106964077508488,0.000919923860757482,0.0009155143402314283
0.0040625,0.40625,1635.8054979513238,0.0009035286364054935,0.0009019799868419312,0.0009068029127624142
0.004078125,0.4078125,1648.7030118601378,0.0008954909695371324,0.0008828030024286989,0.0008972867103676855
0.00409375,0.409375,1661.4109577893869,0.0008867112356584299,0.0008625572961813492,0.000887102347114925
0.004109375,0.4109375,1673.9309945493906,0.0008773094757666313,0.0008413918392506848,0.0008763770354836523
0.004125,0.4125,1686.2646201409652,0.0008673967444067425,0.0008194411881483499,0.0008652284577127855
0.004140625,0.4140625,1698.413112673195,0.0008570739751873483,0.0007968267201182487,0.0008537662155298516
0.00415625,0.415625,1710.3774701137534,0.0008464307050763166,0.0007736579938709885,0.0008420986542402398
0.0041875,0.41875,1733.7579034962039,0.0008244907658114187,0.0007264021119719235,0.0008183392142263026
0.00421875,0.421875,1756.406909708806,0.0008020592167395664,0.0006780041571442006,0.0007945269574002426
0.00425,0.425,1778.3173640019534,0.0007793874667081358,0.0006290554113626615,0.0007709045358123318
0.00428125,0.428125,1799.4725706897495,0.0007564874081879503,0.000580083125462991,0.0007474927581837773
