row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
88,0.0033750000000000004,0.3375,907.6077821502364,5.881383197925899e-05,4.362908869959425e-05,True,The solver successfully reached the end of the integration interval.
89,0.0033828125000000004,0.33828125000000003,916.5328926305408,6.361992797215569e-05,4.71640875808415e-05,True,The solver successfully reached the end of the integration interval.
90,0.0033906250000000004,0.33906250000000004,925.4806471094153,6.878484027955772e-05,5.096024972325561e-05,True,The solver successfully reached the end of the integration interval.
91,0.0033984375000000004,0.3398437500000001,934.4495748440896,7.433101313602195e-05,5.5033672909384775e-05,True,The solver successfully reached the end of the integration interval.
92,0.0034062500000000004,0.340625,943.4382025594658,8.028102490463979e-05,5.9400531464122914e-05,True,The solver successfully reached the end of the integration interval.
93,0.0034140625000000004,0.34140625,952.4450547657314,8.665742457268107e-05,6.407696354280304e-05,True,The solver successfully reached the end of the integration interval.
94,0.0034218750000000004,0.34218750000000003,961.4686539675768,9.348275480683778e-05,6.90790955377538e-05,True,The solver successfully reached the end of the integration interval.
95,0.0034375000000000005,0.3437500000000001,979.5614224880852,0.00010850066782165867,8.007400016202425e-05,True,The solver successfully reached the end of the integration interval.
96,0.0034453125000000005,0.34453125,988.6261123162503,0.0001167896517310575,8.613646388809802e-05,True,The solver successfully reached the end of the integration interval.
97,0.0034531250000000005,0.3453125,997.7016406339087,0.00012560126937629677,9.257695371712813e-05,True,The solver successfully reached the end of the integration interval.
98,0.0034609375000000005,0.34609375000000003,1006.7865200916252,0.00013495027319259783,9.940579822604115e-05,True,The solver successfully reached the end of the integration interval.
99,0.0034687500000000005,0.34687500000000004,1015.8792906789804,0.00014484956567099218,0.00010663191824066467,True,The solver successfully reached the end of the integration interval.
100,0.0034765625000000005,0.3476562500000001,1024.9785050088342,0.0001553081021962949,0.00011426127722641065,True,The solver successfully reached the end of the integration interval.
101,0.0034843750000000005,0.3484375000000001,1034.0827189531344,0.00016633205642288038,0.00012229774338352967,True,The solver successfully reached the end of the integration interval.
102,0.0034921875000000005,0.34921875,1043.1904914885629,0.00017792433326580486,0.00013074274560334048,True,The solver successfully reached the end of the integration interval.
103,0.0035,0.35,1052.3003845221583,0.000190084472982792,0.00013959522482887918,True,The solver successfully reached the end of the integration interval.
104,0.0035078125,0.35078124999999993,1061.4109627116918,0.00020280861591943399,0.0001488516317774211,True,The solver successfully reached the end of the integration interval.
105,0.003515625,0.35156249999999994,1070.5207932962483,0.00021608951514842927,0.00015850595601178222,True,The solver successfully reached the end of the integration interval.
106,0.0035234375,0.35234375,1079.6284459527167,0.00022991658193809804,0.00016854977216673077,True,The solver successfully reached the end of the integration interval.
107,0.00353125,0.353125,1088.7324926937745,0.0002442759558722147,0.00017897229756390844,True,The solver successfully reached the end of the integration interval.
108,0.0035390625,0.35390625,1097.83150782255,0.0002591505993827974,0.0001897604634903498,True,The solver successfully reached the end of the integration interval.
109,0.003546875,0.35468749999999993,1106.9240679584689,0.00027452042034174497,0.00020089900565635997,True,The solver successfully reached the end of the integration interval.
110,0.0035546875,0.35546874999999994,1116.0087521479022,0.0002903624247201001,0.00021237057710333257,True,The solver successfully reached the end of the integration interval.
