row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
79,0.0033046875000000003,0.33046875000000003,828.5414984876683,1.3721632322228813e-11,1.0241214316810016e-11,True,The solver successfully reached the end of the integration interval.
80,0.0033125000000000003,0.33125000000000004,837.197322077384,2.5248996369201987e-11,1.883282923373525e-11,True,The solver successfully reached the end of the integration interval.
81,0.0033203125000000003,0.3320312500000001,845.8888161457558,4.911331023843626e-11,3.660984415744016e-11,True,The solver successfully reached the end of the integration interval.
82,0.0033281250000000004,0.3328125,854.6145609303903,1.0270554223930133e-10,7.651052738077824e-11,True,The solver successfully reached the end of the integration interval.
83,0.0033359375000000004,0.33359375,863.3731278457617,2.357878716939622e-10,1.755410917634626e-10,True,The solver successfully reached the end of the integration interval.
84,0.0033437500000000004,0.33437500000000003,872.1630803255828,6.090594053234813e-10,4.531566097876057e-10,True,The solver successfully reached the end of the integration interval.
85,0.0033515625000000004,0.33515625000000004,880.9829746706874,1.8136769216855087e-09,1.3485936928042447e-09,True,The solver successfully reached the end of the integration interval.
86,0.0033593750000000004,0.3359375000000001,889.8313608819765,6.265865375697313e-09,4.656243530469516e-09,True,The solver successfully reached the end of the integration interval.
87,0.0033671875000000004,0.33671875,898.7067834594608,2.3682877051857294e-08,1.758824594791962e-08,True,The solver successfully reached the end of the integration interval.
88,0.0033750000000000004,0.3375,907.6077821502364,8.707164418160946e-08,6.462432510266856e-08,True,The solver successfully reached the end of the integration interval.
89,0.0033828125000000004,0.33828125000000003,916.5328926305408,3.227700162144162e-07,2.3940713932769714e-07,True,The solver successfully reached the end of the integration interval.
90,0.0033906250000000004,0.33906250000000004,925.4806471094153,1.2566914535611585e-06,9.315193377163884e-07,True,The solver successfully reached the end of the integration interval.
91,0.0033984375000000004,0.3398437500000001,934.4495748440896,2.464794282151602e-06,1.8259019928631238e-06,True,The solver successfully reached the end of the integration interval.
92,0.0034062500000000004,0.340625,943.4382025594658,3.3566844163140737e-06,2.4851186983947415e-06,True,The solver successfully reached the end of the integration interval.
93,0.0034140625000000004,0.34140625,952.4450547657314,4.488804848546446e-06,3.321300287719678e-06,True,The solver successfully reached the end of the integration interval.
94,0.0034218750000000004,0.34218750000000003,961.4686539675768,6.146085469050807e-06,4.544833303544801e-06,True,The solver successfully reached the end of the integration interval.
95,0.0034375000000000005,0.3437500000000001,979.5614224880852,1.24619964329299e-05,9.204364273463827e-06,True,The solver successfully reached the end of the integration interval.
96,0.0034453125000000005,0.34453125,988.6261123162503,1.7890484583005907e-05,1.3205878318502482e-05,True,The solver successfully reached the end of the integration interval.
97,0.0034531250000000005,0.3453125,997.7016406339087,2.4957292415577065e-05,1.8410973961209993e-05,True,The solver successfully reached the end of the integration interval.
98,0.0034609375000000005,0.34609375000000003,1006.7865200916252,3.34330849634562e-05,2.4648122154641266e-05,True,The solver successfully reached the end of the integration interval.
99,0.0034687500000000005,0.34687500000000004,1015.8792906789804,4.308594415010554e-05,3.1744261327359044e-05,True,The solver successfully reached the end of the integration interval.
100,0.0034765625000000005,0.3476562500000001,1024.9785050088342,5.376578380594918e-05,3.958706230276123e-05,True,The solver successfully reached the end of the integration interval.
101,0.0034843750000000005,0.3484375000000001,1034.0827189531344,6.538787152015584e-05,4.8112703296350834e-05,True,The solver successfully reached the end of the integration interval.
102,0.0034921875000000005,0.34921875,1043.1904914885629,7.790482030991851e-05,5.728515509768587e-05,True,The solver successfully reached the end of the integration interval.
103,0.0035,0.35,1052.3003845221583,9.128793944915993e-05,6.708235239905134e-05,True,The solver successfully reached the end of the integration interval.
104,0.0035078125,0.35078124999999993,1061.4109627116918,0.00010551660041003638,7.748825795590084e-05,True,The solver successfully reached the end of the integration interval.
105,0.003515625,0.35156249999999994,1070.5207932962483,0.0001205723557272301,8.848844675933346e-05,True,The solver successfully reached the end of the integration interval.
106,0.0035234375,0.35234375,1079.6284459527167,0.00013643580075417607,0.00010006776029336647,True,The solver successfully reached the end of the integration interval.
107,0.00353125,0.353125,1088.7324926937745,0.00015308503976517305,0.00011220919500500837,True,The solver successfully reached the end of the integration interval.
108,0.0035390625,0.35390625,1097.83150782255,0.00017049503732296286,0.00012489346992788575,True,The solver successfully reached the end of the integration interval.
109,0.003546875,0.35468749999999993,1106.9240679584689,0.00018863739096454027,0.00013809890046695514,True,The solver successfully reached the end of the integration interval.
110,0.0035546875,0.35546874999999994,1116.0087521479022,0.00020748027706556492,0.00015180137968097014,True,The solver successfully reached the end of the integration interval.
111,0.0035625,0.35625,1125.084142072096,0.00022698848240135518,0.00016597440517023915,True,The solver successfully reached the end of the integration interval.
112,0.0035703125,0.35703125,1134.1488223635695,0.00024712350944447,0.0001805891529327392,True,The solver successfully reached the end of the integration interval.
113,0.003578125,0.3578125,1143.201381040705,0.0002678437527322355,0.0001956146036265072,True,The solver successfully reached the end of the integration interval.
114,0.0035859375,0.35859375,1152.2404100686904,0.00028910473143503335,0.00021101771234967892,True,The solver successfully reached the end of the integration interval.
