Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_OH*,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,Y_HNO3,Y_CO,Y_CO2,Y_CH4,Y_C2H6,Y_N2,Y_AR,MF,CEM,HRR,T
0.0003186613752648911,0.0197786159974393,0.0,1.6671963271575782e-06,0.0001371858991158,0.0626559186637922,4.495492117466007e-05,0.00032989532544723456,0.108478932526205,5.786500152713527e-17,5.451359120882189e-07,6.508639761715776e-06,0.0012700195687315424,0.132352180919979,8.947746840921626e-08,0.00022074958231154096,1.1390219698118562e-05,0.0005997217542898079,1.8576803785726115e-05,0.00047426823505370493,0.033432624805932606,1.987307664543975e-06,8.05358149138931e-05,2.801003446637144e-10,1.153540232552903e-05,8.3090355111954e-05,3.852848657382802e-06,0.00022170285743509658,1.918266840796542e-09,1.7173254435517333e-05,5.448593809753581e-09,1.5370272527116024e-06,0.0,0.0,0.0,0.0,0.6765971659934691,0.0,0.2328967023420992,-6.551701385540334,10385109013.741158,772.698932701154
0.0004021863697836038,0.0194443531698515,0.0,2.478846349611217e-06,0.0001425589022597,0.06571427435081,4.862712580157215e-05,0.0002607119333268632,0.105165179282691,1.195949804951062e-16,1.023508570582213e-06,1.0398975374908834e-05,0.001321430632032828,0.130928640885804,1.1294441041089985e-07,0.00022521562409757098,1.0859634504483572e-05,0.0005276758529692657,1.4369893691531995e-05,0.000508014198185336,0.03162683386384737,1.6298870325203707e-06,7.386257000583246e-05,2.998387920370786e-10,1.0057167911778176e-05,8.022713072739353e-05,3.1919759908731788e-06,0.00018548952874624422,2.9239759312478983e-09,8.400217009267113e-06,3.1446483768048665e-09,9.875682636121967e-07,0.0,0.0,0.0,0.0,0.6786049934085829,0.0,0.23345184609814337,-6.628111137479716,11150591597.430937,798.906160597285
0.00043008524263746136,0.0193492879490258,0.0,2.740582543002758e-06,0.0001462205366463,0.0675519725177519,4.957721150496894e-05,0.0002413224869321392,0.102713525043971,1.4456592795472328e-16,1.208747203904287e-06,1.1670385850326845e-05,0.0013324146529821131,0.129618234129197,1.222892630943138e-07,0.0002266856513991362,1.0770573135615007e-05,0.0005066346856484716,1.3465974642749788e-05,0.0005185882607265018,0.03127403311801846,1.5413265007504472e-06,7.188061427785959e-05,3.091219075421597e-10,9.843310183289566e-06,7.84377054303649e-05,3.0915518175112502e-06,0.00017807770296028222,3.177819528223047e-09,7.01655080647413e-06,2.765105594853031e-09,8.975097882552133e-07,0.0,0.0,0.0,0.0,0.680620759823408,0.0,0.23361782385981555,-6.655423430400229,11462942969.157942,805.045791182968
0.0004941565601741438,0.0193794646354935,0.0,3.4784840339747344e-06,0.0001545138717926,0.068428678700324,5.2715071267351374e-05,0.00021056044536034264,0.102579697130792,2.1966378103163244e-16,1.6757286894883065e-06,1.4702104538952247e-05,0.0013604095118576267,0.128246880051642,1.410642225417528e-07,0.0002307224881402591,1.0554866964154554e-05,0.0004671987722671849,1.1738161156227e-05,0.0005545821851052696,0.0311560636379745,1.437393117954621e-06,6.967118953118566e-05,3.347256243365917e-10,9.596540656546601e-06,7.654258309489062e-05,2.89150887986955e-06,0.00016393437703409754,3.797984226241893e-09,5.0185475383295015e-06,2.1808235210080845e-09,7.589186309157232e-07,0.0,0.0,0.0,0.0,0.6812107656099549,0.0,0.23289217030220255,-6.7093112529495595,12263615620.495073,817.939824507929
0.0005308195754190362,0.0189464346092135,0.0,4.012922861646961e-06,0.0001593161005772,0.0695026301584652,5.41870406278542e-05,0.00019525548782864028,0.102305946587373,2.813167280524426e-16,2.0217965677869717e-06,1.711660852605721e-05,0.0013977657884830443,0.127182377368112,1.5792798772897595e-07,0.00024239754321940573,1.0674083448382749e-05,0.0004489270133956027,1.1244553857602327e-05,0.000580068406262347,0.03117083187157202,1.4033928077574652e-06,6.947996402439498e-05,3.439333835153181e-10,9.287885539122986e-06,7.61451807460389e-05,2.7564418230518924e-06,0.00015488538434640345,4.280732328659606e-09,4.003767340405345e-06,1.8990701790048233e-09,6.723443438755717e-07,0.0,0.0,0.0,0.0,0.68190329517626,0.0,0.23058783694214752,-6.741474620385579,12746691522.070436,827.896096521386
0.0007229395580948038,0.0184278132732352,0.0,7.015420303882915e-06,0.0001741696029071,0.0740686152337025,5.979760423053799e-05,0.0001337126107841085,0.0966871212579113,7.585713415371157e-16,4.188908237559508e-06,2.8737250650903885e-05,0.0014675918141674126,0.124608966986138,2.3543618974430822e-07,0.00025873456187948304,9.83053096158247e-06,0.00036322088824917233,7.874694140094689e-06,0.0006767130149818468,0.028673585482953453,1.1714182694443546e-06,6.417169446418584e-05,3.9523990430384186e-10,7.865216654137081e-06,6.933548499947236e-05,2.1459240083904025e-06,0.00011765518769397024,5.85857387373018e-09,1.4226208474360761e-06,9.765854351276245e-10,3.9028788566185925e-07,0.0,0.0,0.0,0.0,0.686033313646106,0.0,0.23115534490261963,-6.865069433084658,14534558048.141708,866.2064244355389
0.0009707802563559605,0.0180647194738461,0.0,1.2279229921995033e-05,0.0001905846593216,0.0796595063852781,6.576493745092292e-05,8.870570313638653e-05,0.0928802979740806,1.9907881249723142e-15,7.885409290389334e-06,4.422520372939392e-05,0.0015098245727668514,0.120627458918943,3.353551694139713e-07,0.00026348336302959446,8.611074282237189e-06,0.00028210993421143765,5.239911480678727e-06,0.0008182176837176657,0.026135523814250456,1.0455415307374272e-06,6.124147217365854e-05,4.677420656501313e-10,6.752344112916159e-06,6.150213432228827e-05,1.6345126690974118e-06,8.613824057508791e-05,7.182510556214989e-09,5.183664041447322e-07,5.198292522490716e-10,2.3158226602920247e-07,0.0,0.0,0.0,0.0,0.68857743258853,0.0,0.2303590954730854,-6.981180616563053,16492556690.7641,905.316485777497
0.0013447925870750863,0.0177394399919254,0.0,2.0680657997951544e-05,0.0002415054834231,0.0844240312352912,7.300233161374885e-05,6.059175312247154e-05,0.0909888843266548,5.071783132973794e-15,1.4033415668330113e-05,6.603055793225356e-05,0.0016537073433343494,0.116434943394204,5.160486270287747e-07,0.00028263096081071313,8.803134965825486e-06,0.00023063174182628556,4.2688313623888234e-06,0.0010603042366472875,0.02612038661030707,1.0309778578357325e-06,6.440803175170127e-05,6.259026612364478e-10,6.907907706878765e-06,5.490285660209347e-05,1.5065791964052075e-06,7.242476455267304e-05,9.098995967824229e-09,2.728531107157945e-07,3.447923246487629e-10,1.6560727186474092e-07,0.0,0.0,0.0,0.0,0.6901711955685009,0.0,0.2269582270096242,-7.059183738866877,21395647741.26844,938.82289265256
0.0016066795703870466,0.0175118940342179,0.0,2.760931962737113e-05,0.0002706007979095,0.0869707609485501,7.603063436340469e-05,4.8031042671125986e-05,0.0889314990473542,8.597939187467215e-15,1.9046350225773635e-05,8.174670241797476e-05,0.0017401487705372464,0.114407067864227,6.571061854489036e-07,0.0002912497870113884,8.717451605388476e-06,0.00020467576151626492,3.7218922921874445e-06,0.0012255367974836234,0.025272873969537535,1.0111571478245762e-06,6.666291824094008e-05,7.258396200844574e-10,6.729025445822425e-06,5.0836138051529605e-05,1.38346401541609e-06,6.350703754759199e-05,1.0103240244127334e-08,1.7390444396693587e-07,2.56374318046555e-10,1.2536718006367065e-07,0.0,0.0,0.0,0.0,0.6919081773077409,0.0,0.2261380984316727,-7.087537013975004,24446419428.41686,961.2102731874072
0.0018365263852206922,0.0173319726272463,0.0,3.411340159010976e-05,0.0003031780449795,0.0888776026267383,7.923722715552006e-05,4.1398306178531034e-05,0.088878207171213,1.2635615184607748e-14,2.3467167998831678e-05,9.526650229177456e-05,0.0018315517242886885,0.112795576669976,7.893267567458607e-07,0.0003016301713910015,8.92864365384543e-06,0.00018937186280696422,3.5209798706007406e-06,0.001389698008252477,0.025341931233809862,1.031003962803512e-06,7.031241341446333e-05,8.3049309118213e-10,6.905083513080162e-06,4.8789951450992553e-05,1.3547349640443783e-06,5.949735009952986e-05,1.1222160120713743e-08,1.3702008181692958e-07,2.201478887964367e-10,1.0819478004529945e-07,0.0,0.0,0.0,0.0,0.6918134628598471,0.0,0.22420125368734592,-7.1352017245911785,27694564113.384106,976.617158790182
